loss,params,iteration,train_time
6.268360438250374,"{'bagging_temperature': 24.2049462497216, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.0444266359582431, 'loss_function': 'MAE', 'max_depth': 3.0, 'random_seed': 42, 'random_strength': 22.437594438564794, 'task_type': 'GPU'}",32,9.204603803157806
6.515864245071354,"{'bagging_temperature': 99.25551507783157, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.15832847019254678, 'loss_function': 'MAE', 'max_depth': 5.0, 'random_seed': 42, 'random_strength': 11.20651730917757, 'task_type': 'GPU'}",33,2.558413811524709
6.255885846362683,"{'bagging_temperature': 33.36724054486238, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.0842668553925571, 'loss_function': 'MAE', 'max_depth': 2.0, 'random_seed': 42, 'random_strength': 45.37021939336498, 'task_type': 'GPU'}",34,2.737286432584127
6.026423044776889,"{'bagging_temperature': 0.025450756467009672, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.1985339952844135, 'loss_function': 'MAE', 'max_depth': 10.0, 'random_seed': 42, 'random_strength': 1.5110937913506746, 'task_type': 'GPU'}",35,20.968796690305073
6.587258622933062,"{'bagging_temperature': 59.275122501429244, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.024900985729448988, 'loss_function': 'MAE', 'max_depth': 10.0, 'random_seed': 42, 'random_strength': 1.7326563400553574, 'task_type': 'GPU'}",36,2.5697977622350057
6.150702708674746,"{'bagging_temperature': 18.16610432278291, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.05226511750125747, 'loss_function': 'MAE', 'max_depth': 10.0, 'random_seed': 42, 'random_strength': 5.466846754603699, 'task_type': 'GPU'}",37,19.747585952281952
6.200100973069159,"{'bagging_temperature': 28.467652422829058, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.03966313100577663, 'loss_function': 'MAE', 'max_depth': 8.0, 'random_seed': 42, 'random_strength': 70.93952347977881, 'task_type': 'GPU'}",38,15.802513368924458
6.089374939923149,"{'bagging_temperature': 6.78345932178728, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.19964561754740018, 'loss_function': 'MAE', 'max_depth': 9.0, 'random_seed': 42, 'random_strength': 15.134753189597399, 'task_type': 'GPU'}",39,18.100754825274148
7.244752287023165,"{'bagging_temperature': 13.77120956114801, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.008271619630997715, 'loss_function': 'MAE', 'max_depth': 10.0, 'random_seed': 42, 'random_strength': 78.93714161746284, 'task_type': 'GPU'}",40,18.932201011975607
7.833384032334828,"{'bagging_temperature': 36.552799473980286, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.005508321936671971, 'loss_function': 'MAE', 'max_depth': 8.0, 'random_seed': 42, 'random_strength': 99.0823885969217, 'task_type': 'GPU'}",41,2.6313906073570252
