,Predicted,Actual
558919,6.2846935705010765,7.0
263925,7.653163289080112,8.0
28882,5.634076664757458,5.0
405734,4.203924423969511,5.0
73314,7.20278668165065,9.0
188237,6.762755235243731,28.0
289289,5.649279025074179,10.0
185491,6.13551647128611,5.0
80088,2.6603284677746615,1.0
18891,7.836123091976788,3.0
234098,4.266173209119643,3.0
489695,9.694709213052192,2.0
240530,6.492082651689543,12.0
15450,8.902632104759732,7.0
343803,3.8953919278876583,8.0
239506,4.465566496874544,18.0
155884,12.054073366041848,15.0
447197,9.754189788676854,13.0
355052,5.364765554674477,3.0
564901,9.362446273508453,39.0
192006,8.828015024344609,7.0
167013,7.284950189351093,5.0
506621,10.749048918211315,8.0
84197,6.912002254721301,9.0
310411,8.31616951058129,7.0
503137,5.54774293371338,4.0
232740,5.3090740021996226,7.0
321200,9.601297152722964,15.0
110939,8.255295159888647,20.0
280939,8.571088429492761,5.0
290386,6.470778293818512,4.0
282080,5.823502576489773,3.0
466837,8.259825840318172,8.0
356649,7.040532829508834,21.0
275253,9.938244069226243,10.0
341605,4.291825785373021,7.0
427982,10.018776289140533,9.0
398586,4.963598358596073,8.0
416623,4.722252999160219,8.0
139571,7.293705080885275,30.0
314547,3.441908708918845,4.0
262087,4.971914554175328,6.0
157635,12.094573837648682,20.0
536199,7.375011727680658,5.0
561649,4.1479620405707465,3.0
156770,4.2950875170895415,4.0
107076,7.529873808590082,3.0
111090,9.607974507173594,6.0
1358,6.450112423263818,5.0
347261,4.733858103983039,5.0
397575,5.888491130372813,4.0
90755,4.998202543391244,3.0
128490,10.132768267939014,4.0
560910,5.616563947643272,7.0
205962,6.670972324086961,25.0
138885,4.386758011110032,3.0
141839,4.843665863139222,4.0
70347,5.730078646538914,5.0
20611,4.8564558073046555,6.0
499052,5.531331147274841,5.0
46042,6.577958735126799,6.0
525384,2.8893602374914735,1.0
190716,6.250277331395182,4.0
301397,5.4491100439788624,56.0
539199,8.676973696329924,5.0
83074,5.517167736803458,6.0
307039,8.6074795160755,4.0
287392,8.566432367121479,9.0
463299,4.66870361861902,7.0
527887,6.498280088298316,10.0
469228,7.723672124484892,3.0
179419,2.740543426714339,1.0
124736,5.657737721023977,8.0
460800,7.58797060893005,4.0
268407,6.7447564922981655,20.0
15790,7.136654032014576,6.0
164543,4.876461289325334,3.0
77522,3.907054916915513,2.0
270672,7.7788864909831545,29.0
504019,6.953770711067136,7.0
470724,4.851530634616893,3.0
499392,8.422477333539632,8.0
449054,7.345627396445252,12.0
448826,8.616259325983947,7.0
78745,3.042335366212683,5.0
279450,6.002653066507946,5.0
3618,5.119529356936255,2.0
229179,3.7308382532778523,4.0
49866,10.755055284274704,22.0
156594,3.940598543121496,1.0
339552,6.256535933420764,9.0
270383,6.324302057845671,2.0
321232,5.388952849744669,5.0
390049,7.433792036714522,2.0
31863,4.02535028657212,5.0
280401,4.993709010261227,5.0
507926,7.571851748168456,9.0
344270,5.570256486376138,7.0
278975,9.648089744606068,13.0
195992,6.6283892414787715,6.0
319206,5.102678729667787,3.0
526123,3.5690274127318844,2.0
482798,7.427994834951278,3.0
184130,3.85525099576671,2.0
83490,8.797541538431005,13.0
338778,6.19936283909874,7.0
387263,6.933727343616283,5.0
130965,2.8771584500614154,2.0
25519,7.727244625591197,5.0
343418,3.9221721986491502,3.0
266361,10.648017503528877,4.0
508797,6.8599744482907,15.0
390121,7.615652912465748,21.0
110476,7.716970823893462,4.0
146217,11.058018923099553,94.0
233950,8.85208423407812,3.0
452736,11.42500966809132,15.0
67276,13.137643295591715,23.0
221187,8.155558651519186,17.0
357161,6.760892778614561,8.0
299593,4.380128824470603,4.0
157835,6.978701904963145,10.0
262913,8.002894995439874,5.0
452730,6.5192857698616535,2.0
460180,3.2280028366708393,10.0
49394,4.311985965262693,5.0
215729,14.29524225120258,2.0
477661,9.95485677696854,11.0
478294,6.04324324109939,4.0
179605,10.172466594518482,14.0
566601,11.17651310964186,5.0
241755,3.7428483569995024,2.0
251996,10.879409509537254,7.0
352150,6.572276522176253,4.0
466302,5.117836305549645,3.0
231855,9.290939747898392,14.0
278359,3.7569401790410666,3.0
199891,10.317935919321826,35.0
98932,6.796492486979787,2.0
291936,5.811362311719222,2.0
515809,3.604486670903043,19.0
198301,10.332555517675814,12.0
19201,2.013524694060834,2.0
484378,4.178022326794689,26.0
89183,9.591409088781461,6.0
31753,4.179332349357992,6.0
411208,5.449216983144652,16.0
566766,6.758868839757497,6.0
94155,8.216514659870768,31.0
511004,9.672660085067378,18.0
560127,4.4230381687266345,2.0
456676,6.25595119664149,3.0
97640,8.41057102799516,8.0
519504,6.285987976028082,6.0
496924,11.956742754192987,8.0
380103,3.9579832542367512,3.0
518733,6.8528132165249644,8.0
429381,5.413816015863404,1.0
564681,14.880856481203978,51.0
450835,8.389198958552697,6.0
516608,8.786752197171722,6.0
406084,13.366079376782181,12.0
408297,2.9398646821009606,12.0
118079,8.132091152843032,5.0
172954,6.280053569451184,4.0
16538,6.957559706883899,8.0
70915,4.553103990803038,5.0
183771,4.436499407981046,2.0
454551,6.1210293367485065,1.0
188521,5.296823521944816,5.0
283584,5.0355316328782465,15.0
522500,8.11905959255148,7.0
469341,7.427150757501863,8.0
3540,6.219354593326443,4.0
